,Image,Ezz_bas_x,Ezz_bas_signal_1,Ezz_bas_signal_2,Ezz_bas_quality_1,Ezz_bas_quality_2,Delta_uz_x,Delta_uz_signal_1,Delta_uz_signal_2,Delta_uz_quality_1,Delta_uz_quality_2,Ezz_haut_x,Ezz_haut_signal_1,Ezz_haut_signal_2,Ezz_haut_quality_1,Ezz_haut_quality_2,Charge_x,Charge_signal_1,Charge_signal_2,Charge_quality_1,Charge_quality_2
30,130,-106.62842646634168,27.823025305856994,-2.677714810870011,4.518728550693504,3.493640584992297,-0.0009990757671053169,0.0005869087862396383,7.784441901090365e-05,2.282781376523223,1.550061341822747,-119.28112446660428,39.924054692013854,-1.3925898530359966,3.6402431264784143,2.6955337136996906,-1179.662857142857,124.09482477173499,-80.62384257980702,10.224432266023442,8.618971238286585
31,131,-126.05251959347359,25.547951943363323,-7.822933849678732,5.095083541327391,3.9735339231764324,-0.0014443460968835955,0.0005127773193154665,-4.4190439338394e-05,2.816978813970199,2.015309198653098,-149.19294847035314,36.18277079158444,-9.021805267487503,4.2386352719526545,3.2050278971545114,-1274.162857142857,127.3128587025187,-96.67000996713412,10.99076440960634,9.234228128953758
32,132,-142.08521901308274,22.606180729947297,-12.557411233974278,5.5350516507132905,4.353251641431689,-0.0018209932630776757,0.00042627120687784936,-0.00016061723006162898,3.234592335289293,2.389856495260674,-174.4963321048332,31.515623589226426,-16.11737234924793,4.71048498328379,3.621351533134852,-1327.002857142857,126.6937989197831,-109.32157836608107,11.40029562351673,9.549397046063618
33,133,-159.55133928062781,19.01536776350855,-16.9313551739751,6.0013816637010695,4.793261698461216,-0.0022346067623676253,0.00032752650293823383,-0.0002724325700575469,3.6877976458694577,2.8242486310809007,-200.46177336557594,25.94363731536434,-22.75019662058334,5.176783471395009,4.063393849122663,-1355.3028571428572,122.43725758583847,-118.83443573221996,11.588851148812667,9.696731071394117
34,134,-163.34221609255277,14.878608191795522,-20.81918619758162,5.9897570194057055,4.7900032006267885,-0.002376406571972201,0.000219378247900327,-0.00037642615037798645,3.7362338944406246,2.8786648963240733,-217.55978278815306,19.626788207559077,-28.729844326066186,5.423295833233493,4.317616356406982,-1355.2428571428572,114.66544344890761,-124.93546022801121,11.527431872612858,9.648414594704965
35,135,-174.0408869975916,10.31467173166006,-24.109281528116405,6.195937014650948,5.038995245913162,-0.0025777354385478463,0.0001049314657342687,-0.00046961223112800015,3.8612873218686694,3.034319840735374,-228.86915308906495,12.746438118469428,-33.88463493833145,5.524565845103249,4.458341466773134,-1329.8428571428572,103.60149158572551,-127.44948650016092,11.241471366954208,9.429504996049737
36,136,-175.55534863103185,5.454592694295144,-26.707179864647355,6.0834954107594115,5.002582427021328,-0.002775010065420342,-1.25279837763154e-05,-0.0005493153644764217,3.9761690211017395,3.203545962932292,-233.0668522586473,5.500127470177345,-38.06657024506351,5.454859023759079,4.45870190915127,-1247.922857142857,89.56305701277356,-126.30433481878683,10.488938493511043,8.79604605127152
37,137,-170.27709450500296,0.43790788408565273,-28.538293442405752,5.737496658900298,4.7636463471423856,-0.002750523075969636,-0.00012962774472867017,-0.0006132472089289262,3.7723766220516524,3.076280620440493,-232.97409657547,-1.9040962912429036,-41.15558349747917,5.283439802118332,4.385950428583574,-1117.662857142857,72.95319455360828,-121.5328834158943,9.33714396799101,7.811929767171446
38,138,-163.11915158547282,-4.5913496160508185,-29.550049507919834,5.327901598650017,4.489073989851375,-0.002811453714006524,-0.00024300578817002257,-0.0006595722294655988,3.6968866306442556,3.097303165427954,-221.00503227734805,-9.25365190639102,-43.06298662392456,4.841717530745079,4.068663544896483,-946.0828571428572,54.248786808462505,-113.27212452471454,7.84488043983787,6.531134615112757
39,139,-145.6302805470583,-9.48878575108878,-29.71339972532763,4.575528574514391,3.8958070885241214,-0.0026645593946447214,-0.0003494069386708129,-0.0006869603972373828,3.3323066729513995,2.84645027090032,-202.4550774757541,-16.337527682610947,-43.734016536211364,4.255597304887163,3.629173712601895,-743.3028571428572,33.986852468681434,-101.75923122175745,6.0957232292809085,5.0311644870208845
40,140,8.35352845232688,29.434823367698097,12.10059418872687,0.7085133552970331,0.12593373073489664,-0.0005153820566441751,0.0006936810117772278,0.00040436874018577444,1.7402607420187717,1.3238401254398207,-6.1581263005757165,43.56400904034028,20.08286783822183,1.1369018417941394,0.6000030843880195,331.51714285714286,94.07604395435499,-22.269994977962075,1.8620794849980138,2.7744976521045683
41,141,20.223357600829964,29.746409381615145,7.337558765224493,0.3200566851779031,0.43307399309899886,-0.0003570109088358497,0.000677189010481554,0.0003031801400181091,1.4885720736941492,0.9502437007300151,7.712189577434854,43.590485062135144,13.23520476279641,0.8203609908809413,0.12628432172999426,481.4371428571429,107.25846967991708,-43.14804562137637,2.934413773633811,4.1139437195731325
42,142,37.711538443459006,29.16758602456356,2.1774500076466543,0.2871505009588364,1.1942518866202003,-0.00011832734852927079,0.0006395618153316954,0.0001890902379113742,1.09086514435571,0.44248043883046984,30.379593767985973,42.29638352232154,5.735242652761293,0.2724786481329755,0.5634956741221129,684.2771428571428,117.67238412203824,-63.48337327513693,4.443472937997338,5.864147037794458
43,143,63.915940209098736,27.75622077025248,-2.863853700323053,1.2152784849822484,2.244377114344622,0.00026588543633487344,0.0005845611797185594,7.350509467910719e-05,0.4586848280531433,0.2769019787832948,63.864811598892445,39.81108134724595,-1.6672148515376648,0.5499910661039706,1.4983966609070358,912.1171428571429,124.27666322643026,-81.24296730815695,6.178465317716404,7.790207722680202
44,144,91.38199259565114,25.54795194336174,-7.822933849681713,2.212591646887147,3.334141265038152,0.0006808601546135516,0.0005127773193154177,-4.4190439338466075e-05,0.24192944712012301,1.043599062437257,99.34152806828897,36.18277079158188,-9.02180526749195,1.4441316122284316,2.4777389870266178,1145.8971428571429,127.31285870251942,-96.67000996714276,7.988022747663598,9.744559028316253
